Run,BioSample,Sample,Region,Locality,Aligned,Filtered,Coverage,Path,Lineage
SRR3165618,SAMN04482561,SRS1284061,Northern Territory,Darwin Harbour,43311444,42229480,6.27037,data/split/SRR3165618.sort.flt.bam,AUS+NG
SRR3165619,SAMN04482562,SRS1284062,Northern Territory,Darwin Harbour,38046019,37284074,5.53852,data/split/SRR3165619.sort.flt.bam,AUS+NG
SRR3165620,SAMN04482563,SRS1284063,Northern Territory,Darwin Harbour,34569503,33794982,5.02076,data/split/SRR3165620.sort.flt.bam,AUS+NG
SRR3165621,SAMN04482564,SRS1284064,Northern Territory,Darwin Harbour,43100095,42194909,6.26656,data/split/SRR3165621.sort.flt.bam,AUS+NG
SRR3165622,SAMN04482565,SRS1284065,Northern Territory,Darwin Harbour,42833880,41944785,6.23001,data/split/SRR3165622.sort.flt.bam,AUS+NG
SRR3165623,SAMN04482566,SRS1284066,Northern Territory,Darwin Harbour,37564845,36718029,5.45181,data/split/SRR3165623.sort.flt.bam,AUS+NG
SRR3165629,SAMN04482572,SRS1284073,Queensland,NA,42727945,41919976,6.22876,data/split/SRR3165629.sort.flt.bam,AUS+NG
SRR3165630,SAMN04482573,SRS1284074,Queensland,NA,36057176,35316921,5.24624,data/split/SRR3165630.sort.flt.bam,AUS+NG
SRR3165631,SAMN04482574,SRS1284075,Queensland,NA,32689855,32071955,4.76502,data/split/SRR3165631.sort.flt.bam,AUS+NG
SRR3165632,SAMN04482575,SRS1284076,Queensland,NA,33950939,33297017,4.9482,data/split/SRR3165632.sort.flt.bam,AUS+NG
SRR3165633,SAMN04482576,SRS1284077,Queensland,NA,34206590,33484747,4.974,data/split/SRR3165633.sort.flt.bam,AUS+NG
SRR3165634,SAMN04482577,SRS1284078,Queensland,NA,40549352,39725840,5.90283,data/split/SRR3165634.sort.flt.bam,AUS+NG
SRR3165594,SAMN04482519,SRS1283157,India Eastern Coast,NA,58581162,35621885,5.24485,data/split/SRR3165594.sort.flt.bam,IND
SRR3165595,SAMN04482520,SRS1283158,India Eastern Coast,NA,50287963,48223515,7.15998,data/split/SRR3165595.sort.flt.bam,IND
SRR3183253,SAMN04482522,SRS1284022,India Eastern Coast,NA,63984970,57917391,11.8196,data/split/SRR3183253.sort.flt.bam,IND
SRR3183255,SAMN04482523,SRS1284023,India Eastern Coast,NA,38650072,33515505,6.83614,data/split/SRR3183255.sort.flt.bam,IND
SRR3183256,SAMN04482524,SRS1284024,India Eastern Coast,NA,48796326,36968633,7.52759,data/split/SRR3183256.sort.flt.bam,IND
SRR3183257,SAMN04482525,SRS1284025,India Eastern Coast,NA,45634612,41086834,8.46042,data/split/SRR3183257.sort.flt.bam,IND
SRR3183258,SAMN04482526,SRS1284026,India Western Coast,NA,196695055,178632224,34.8059,data/split/SRR3183258.sort.flt.bam,IND
SRR3183259,SAMN04482527,SRS1284027,India Western Coast,NA,143785172,133091074,25.5825,data/split/SRR3183259.sort.flt.bam,IND
SRR3183260,SAMN04482528,SRS1284028,India Western Coast,NA,52601809,49606529,10.5794,data/split/SRR3183260.sort.flt.bam,IND
SRR3183261,SAMN04482529,SRS1284029,India Western Coast,NA,51249916,47169202,9.92069,data/split/SRR3183261.sort.flt.bam,IND
SRR3165613,SAMN04482556,SRS1284056,Indonesia-K,K,33294808,31924152,4.73449,data/split/SRR3165613.sort.flt.bam,SEA
SRR3165614,SAMN04482557,SRS1284057,Indonesia-K,K,36112330,35209985,5.22582,data/split/SRR3165614.sort.flt.bam,SEA
SRR3165615,SAMN04482558,SRS1284058,Indonesia-K,K,39202344,38378631,5.69962,data/split/SRR3165615.sort.flt.bam,SEA
SRR3165616,SAMN04482559,SRS1284059,Indonesia-K,K,44105489,43004573,6.38517,data/split/SRR3165616.sort.flt.bam,SEA
SRR3165617,SAMN04482560,SRS1284060,Indonesia-K,K,45680431,44616925,6.62419,data/split/SRR3165617.sort.flt.bam,SEA
SRR3183267,SAMN04482550,SRS1284050,Indonesia-SJ,SJ,76809629,72056421,14.9079,data/split/SRR3183267.sort.flt.bam,SEA
SRR3183268,SAMN04482551,SRS1284051,Indonesia-SJ,SJ,73904148,69036901,14.3466,data/split/SRR3183268.sort.flt.bam,SEA
SRR3183269,SAMN04482552,SRS1284052,Indonesia-SJ,SJ,77272102,72724877,15.0254,data/split/SRR3183269.sort.flt.bam,SEA
SRR3183270,SAMN04482553,SRS1284053,Indonesia-SJ,SJ,171661677,160139179,33.1352,data/split/SRR3183270.sort.flt.bam,SEA
SRR3183271,SAMN04482554,SRS1284054,Indonesia-SJ,SJ,58564798,54607071,11.3764,data/split/SRR3183271.sort.flt.bam,SEA
SRR3165612,SAMN04482555,SRS1284055,Indonesia-SU,SU,43210183,41319274,6.13043,data/split/SRR3165612.sort.flt.bam,SEA
SRR3165598,SAMN04482531,SRS1284031,Cambodia,NA,42505415,41708561,6.19854,data/split/SRR3165598.sort.flt.bam,SEA
SRR3165599,SAMN04482532,SRS1284033,Cambodia,NA,40102373,39134937,5.81331,data/split/SRR3165599.sort.flt.bam,SEA
SRR3165600,SAMN04482533,SRS1284032,Cambodia,NA,45128142,44091504,6.55264,data/split/SRR3165600.sort.flt.bam,SEA
SRR3165601,SAMN04482534,SRS1284034,Cambodia,NA,38824008,37866620,5.6257,data/split/SRR3165601.sort.flt.bam,SEA
SRR3165602,SAMN04482535,SRS1284035,Cambodia,NA,37378404,35906777,5.33382,data/split/SRR3165602.sort.flt.bam,SEA
SRR3165624,SAMN04482567,SRS1284067,Papua New Guinea,NA,46009810,45091295,6.69989,data/split/SRR3165624.sort.flt.bam,AUS+NG
SRR3165625,SAMN04482568,SRS1284068,Papua New Guinea,NA,36385434,35592008,5.28765,data/split/SRR3165625.sort.flt.bam,AUS+NG
SRR3165626,SAMN04482569,SRS1284070,Papua New Guinea,NA,40019282,39174817,5.81982,data/split/SRR3165626.sort.flt.bam,AUS+NG
SRR3165627,SAMN04482570,SRS1284071,Papua New Guinea,NA,40858088,40059128,5.95206,data/split/SRR3165627.sort.flt.bam,AUS+NG
SRR3165628,SAMN04482571,SRS1284072,Papua New Guinea,NA,37198470,36318355,5.39644,data/split/SRR3165628.sort.flt.bam,AUS+NG
SRR3165607,SAMN04482545,SRS1284045,Philippines,NA,39963794,39248534,5.83248,data/split/SRR3165607.sort.flt.bam,SEA
SRR3165608,SAMN04482546,SRS1284046,Philippines,NA,40784829,40079564,5.95467,data/split/SRR3165608.sort.flt.bam,SEA
SRR3165609,SAMN04482547,SRS1284047,Philippines,NA,51882107,50933622,7.5679,data/split/SRR3165609.sort.flt.bam,SEA
SRR3165610,SAMN04482548,SRS1284048,Philippines,NA,38898446,38180704,5.67282,data/split/SRR3165610.sort.flt.bam,SEA
SRR3165611,SAMN04482549,SRS1284049,Philippines,NA,45263100,44377628,6.59629,data/split/SRR3165611.sort.flt.bam,SEA
SRR3165603,SAMN04482536,SRS1284036,Thailand,EC,44651670,43586895,6.48057,data/split/SRR3165603.sort.flt.bam,SEA
SRR3183262,SAMN04482537,SRS1284037,Thailand,EC,77551309,72055855,14.8006,data/split/SRR3183262.sort.flt.bam,SEA
SRR3183263,SAMN04482538,SRS1284038,Thailand,EC,97249685,91212083,19.1199,data/split/SRR3183263.sort.flt.bam,SEA
SRR3183264,SAMN04482539,SRS1284039,Thailand,EC,142300778,134499580,25.3705,data/split/SRR3183264.sort.flt.bam,SEA
SRR3183265,SAMN04482540,SRS1284040,Thailand,EC,124725409,118670773,21.9547,data/split/SRR3183265.sort.flt.bam,SEA
SRR3165604,SAMN04482541,SRS1284041,Thailand,EC,44274458,43241218,6.43056,data/split/SRR3165604.sort.flt.bam,SEA
SRR3183266,SAMN04482542,SRS1284042,Thailand,EC,76335167,71808027,15.0087,data/split/SRR3183266.sort.flt.bam,SEA
SRR3165605,SAMN04482543,SRS1284043,Vietnam,NA,43763977,37427442,5.55945,data/split/SRR3165605.sort.flt.bam,SEA
SRR3165606,SAMN04482544,SRS1284044,Vietnam,NA,47150372,46161661,6.85862,data/split/SRR3165606.sort.flt.bam,SEA
SRR3183252,SAMN04482517,SRS1283155,India Eastern Coast,NA,81810791,62876243,12.3517,data/split/SRR3183252.sort.flt.bam,IND
SRR26358744,SAMN37541109,SRS19173540,Bangladesh,Bakhkhali River,49704585,46328960,10.0176,data/split/SRR26358744.sort.flt.bam,IND
SRR26402930,SAMN37541109,SRS19173540,Bangladesh,Bakhkhali River,50013614,46662535,10.0569,data/split/SRR26402930.sort.flt.bam,IND