label,Tip,Additional
Centropomus_undecimalis,Ce. undecimalis,
Channa_maculata,Ch. maculata,
DQ108026_1_Lates_calcarifer,L. calcarifer,AUS+NG
KJ573895_1_Lates_calcarifer,L. calcarifer,IND
KJ573921_1_Lates_calcarifer,L. calcarifer,SEA
LC269834_1_Hypopterus_macropterus,H. macropterus,
Lates_japonicus,L. japonicus,
Lates_microlepis,L. microlepis,
Lates_niloticus,L. niloticus,
MW183492_1_Centropomus_ensiferus,Ce. ensiferus,
NC_035737_1_Psammoperca_waigiensis_Australia_sp2,P. datnioides,
Nandus_nandus,N. nandus,
OQ387793_1_Psammoperca_waigiensis_sp1,P. waigiensis,